Murrunkan-1,Pavattakulam-1,Nachchiduva-1,Vavniya-1,Mannr-1,Apura-1,Kappachichiya-1,Murrunkan,Pavattakulam,Nachchiduva,Vavniya,Mannr,Apura,Kappachichiya
0,0,0,0,0,0.1,6.69,0,8,0,4.9,0,0,0.0543
0,8,0,4.9,0,0,5.43,0,8,0,0,0,0,0.0546
0,8,0,0,0,0,5.46,0,10,0,0,0,0,0.0593
0,10,0,0,0,0,5.93,0,10,0,0,0,0,0.0686
0,10,0,0,0,0,6.86,0,8,0,0,0,0,0.0688
0,8,0,0,0,0,6.88,0,6,0,0,0,0,0.0653
0,6,0,0,0,0,6.53,0,6,0,0,0,0,0.0613
0,6,0,0,0,0,6.13,0,0,0,0,0,0,0.0462
0,0,0,0,0,0,4.62,0,0,0,0,0,0,0.0473
0,0,0,0,0,0,4.73,0,0,0,0,0,0,0.0438
0,0,0,0,0,0,4.38,0,0,0,0,0,0,0.0494
0,0,0,0,0,0,4.94,0,7,0,0,0,0,0.0555
0,7,0,0,0,0,5.55,0,7,0,0,0,0,0.0631
0,7,0,0,0,0,6.31,0,7,0,0,0,0,0.0657
0,7,0,0,0,0,6.57,0,7,0,0,0,0,0.0676
0,7,0,0,0,0,6.76,0,7,0,0,0,0,0.0661
0,7,0,0,0,0,6.61,0,7,0,0,0,0,0.0602
0,7,0,0,0,0,6.02,0,0,0,0,0,0,0.0555
0,0,0,0,0,0,5.55,0,0,0,0,0,0,0.0487
0,0,0,0,0,0,4.87,25.2,0,0,0,11.4,0,0.0438
